Player, POS, Age, Team, G, MP, PER, TS%, 3PAr, FTr, ORB%, DRB%, TRB%, AST%, STL%, BLK%, TOV%, USG%, , OWS, DWS, WS, WS48, , OBPM, DBPM, BPM, VORP
Daniel Theis,C,25,BOS,56,814,15.3,0.606,0.252,0.347,10.5,21.1,15.9,9,1.5,4.2,18.5,15.7,0,1.1,1.7,2.8,0.167,0,-1.4,3.5,2.1,0.8
Danilo Gallinari,SF,29,LAC,16,507,14.5,0.543,0.447,0.286,1.5,14.7,8.2,10.9,1.1,0.7,7.6,21.5,0,0.7,0.4,1.1,0.101,0,0.4,-1.5,-1.1,0.1
Danny Green,SG,30,SAS,46,1198,12.1,0.516,0.559,0.083,2.1,13.1,7.6,10.1,2,3.7,11.8,16.5,0,0.1,2.1,2.2,0.087,0,-1,2.6,1.6,1.1
Dante Cunningham,SF,30,TOT,52,1137,8.6,0.525,0.48,0.159,5.2,13.8,9.6,3.2,1.2,1.2,7.3,10.1,0,0.6,0.8,1.4,0.059,0,-1.8,-0.3,-2.1,0
Danuel House,SG,24,PHO,16,193,11,0.491,0.463,0.284,4.9,16,10.4,6.2,1.2,0.4,6.2,17.7,0,0.1,0.1,0.2,0.045,0,-1.9,-2.7,-4.6,-0.1
Dante Exum,PG,21,UTA,66,1228,8.5,0.521,0.41,0.201,2.9,9.3,6.2,14.1,0.9,0.8,16.8,18.1,,-0.1,1.3,1.2,0.046,,-2,-0.5,-2.5,-0.1
Dario Saric,PF,23,PHI,52,1597,15.5,0.571,0.433,0.212,7.6,16.6,12.3,13.4,1.2,0.8,13.5,20.3,0,2.4,1.8,4.2,0.126,0,1.4,0,1.4,1.4
Darius Miller,SF,27,NOP,55,1259,9.9,0.632,0.756,0.145,0.8,8.5,4.8,7.2,0.7,0.7,9.5,13.2,0,1.6,0.4,2,0.077,0,0.8,-2.1,-1.3,0.2
Darrell Arthur,PF,29,DEN,13,111,7.2,0.533,0.436,0.077,2,12.2,7.1,9.5,2.7,0.8,24.4,20.9,0,-0.2,0.1,-0.1,-0.037,0,-4.7,-1.2,-5.9,-0.1
Darren Collison,PG,30,IND,52,1574,18.7,0.608,0.327,0.234,2.1,7.8,5,24.8,2.4,0.7,10.8,17.4,0,4.4,1.3,5.7,0.174,0,3.2,-1,2.2,1.7
Darrun Hilliard,SG,24,SAS,13,92,4.2,0.38,0.333,0.389,0,8.5,4.2,16,1.1,0,15.9,12.3,0,-0.1,0.1,0,0.001,0,-5.9,-1.2,-7.2,-0.1
David Nwaba,SG,25,CHI,43,934,12.5,0.564,0.087,0.599,5.1,16.4,10.6,8.5,1.7,1.9,12.4,14,0,0.9,0.9,1.8,0.092,0,-2.6,1.4,-1.2,0.2
David West,C,37,GSW,52,704,23.3,0.64,0.026,0.211,8.1,19.4,14.2,20.6,2.3,6.3,16.2,21.5,0,1.7,1.3,3,0.204,0,1.2,3.5,4.7,1.2
Davis Bertans,PF,25,SAS,53,792,13.7,0.58,0.687,0.128,2.1,14,8.1,10,1.1,2,8.5,17.4,0,1.1,1.1,2.2,0.134,0,1,-0.3,0.8,0.6
Davon Reed,SG,22,PHO,6,46,1,0.349,0.417,0.167,0,4.8,2.3,8.9,2.1,0,13.4,13.8,0,-0.1,0,-0.1,-0.091,0,-6.5,-2.3,-8.8,-0.1
De'Aaron Fox,PG,20,SAC,48,1303,11.3,0.482,0.177,0.272,2,9.4,5.5,24.4,1.8,0.9,17,23.3,0,-0.9,0.5,-0.5,-0.018,0,-2.8,-1.9,-4.7,-0.9
DeAndre Jordan,C,29,LAC,49,1575,18.9,0.646,0,0.483,14.8,36,25.5,6.1,0.7,2.5,16.5,14.2,0,3.6,2.4,5.9,0.181,0,-0.1,1.7,1.5,1.4
DeAndre Liggins,SG,29,TOT,38,567,6.4,0.48,0.544,0.063,1.5,10.7,6.1,7.2,3.1,1.8,16.5,7.8,0,-0.2,0.7,0.5,0.042,0,-3.1,1.8,-1.3,0.1
DeAndre' Bembry,SF,23,ATL,18,311,4.6,0.447,0.227,0.239,2.6,12.6,7.6,12.1,2.1,2.2,27,18.9,0,-0.8,0.3,-0.6,-0.092,0,-7.2,0.6,-6.6,-0.4
